"Date","M001"
2015-01-01,0
2015-01-02,0
2015-01-03,0.1
2015-01-04,0.2
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0.3
2015-01-09,2.1
2015-01-10,0.7
2015-01-11,0
2015-01-12,0.4
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,36.7
2015-01-18,2.9
2015-01-19,7.8
2015-01-20,4.5
2015-01-21,5
2015-01-22,1.9
2015-01-23,21.5
2015-01-24,12.8
2015-01-25,0.1
2015-01-26,8.4
2015-01-27,25.3
2015-01-28,0.6
2015-01-29,0
2015-01-30,0.4
2015-01-31,0.5
2015-02-01,0.4
2015-02-02,0
2015-02-03,0
2015-02-04,0.9
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0.4
2015-02-10,0
2015-02-11,0
2015-02-12,0.2
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,15
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,5.5
2015-03-03,13.7
2015-03-04,3
2015-03-05,0
2015-03-06,0
2015-03-07,1.5
2015-03-08,0
2015-03-09,0.3
2015-03-10,1
2015-03-11,0
2015-03-12,0
2015-03-13,0.3
2015-03-14,1.7
2015-03-15,0.4
2015-03-16,0.1
2015-03-17,4.5
2015-03-18,NA
2015-03-19,0.4
2015-03-20,17.9
2015-03-21,0.3
2015-03-22,9
2015-03-23,0
2015-03-24,13.7
2015-03-25,14.2
2015-03-26,1.1
2015-03-27,0
2015-03-28,22.1
2015-03-29,8.4
2015-03-30,0
2015-03-31,4.9
2015-04-01,1.7
2015-04-02,1.4
2015-04-03,0
2015-04-04,0
2015-04-05,0.2
2015-04-06,0.2
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0.1
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,2.1
2015-04-15,1.9
2015-04-16,16.5
2015-04-17,18.9
2015-04-18,0.3
2015-04-19,13.3
2015-04-20,18.9
2015-04-21,0.8
2015-04-22,0
2015-04-23,0.2
2015-04-24,6.6
2015-04-25,5.3
2015-04-26,5.1
2015-04-27,0.7
2015-04-28,0.9
2015-04-29,7.9
2015-04-30,0.1
